Variant SKU,Video URL
BR0001-R-6.5-R-18k-f,https://cdn.shopify.com/videos/c/o/v/fbff1fed622a4b1ca6e86f6439ce78e8.mp4
BR0001-R-8-R-18k-f,https://cdn.shopify.com/videos/c/o/v/c69f138bf92d41e8bec20caf290f7054.mp4
BR0001-R-9.4-R-18k-f,https://cdn.shopify.com/videos/c/o/v/3b941c4ed6bd49c88d645df5fc5d4d8d.mp4
BR0002-A-6x6-W-14k-f,https://cdn.shopify.com/s/files/1/0937/6904/0186/files/BR0002-A-6x6mm-W-E.jpg?v=1749056845
BR0002-A-7x7-W-14k-f,https://cdn.shopify.com/s/files/1/0937/6904/0186/files/BR0002-A-7x7mm-W-E.jpg?v=1749056941
BR0002-A-8x8-W-14k-f,https://cdn.shopify.com/s/files/1/0937/6904/0186/files/BR0002-A-8x8mm-W-E.jpg?v=1749057004
BR0002-A-9x9-W-14k-f,https://cdn.shopify.com/s/files/1/0937/6904/0186/files/BR0002-A-9x9mm-W-E.jpg?v=1749057058
BR0002-A-10x10-W-14k-f,https://cdn.shopify.com/s/files/1/0937/6904/0186/files/BR0002-A-10x10mm-W-E.jpg?v=1749057105
BR0002-O-7x5-W-14k-f,https://cdn.shopify.com/s/files/1/0937/6904/0186/files/BR0002-O-7x5MM-W-E.jpg?v=1749045634
BR0002-O-9x7-W-14k-f,https://cdn.shopify.com/s/files/1/0937/6904/0186/files/BR0002-O-9x7MM-W-E.jpg?v=1749046296
BR0002-O-10x8-W-14k-f,https://cdn.shopify.com/s/files/1/0937/6904/0186/files/BR0002-O-10x8mm-W-E.jpg?v=1749046579
BR0002-O-12x10-W-14k-f,https://cdn.shopify.com/s/files/1/0937/6904/0186/files/BR0002-O-12x10MM-W-E.jpg?v=1749046782
BR0002-C-6x6-W-14k-f,https://cdn.shopify.com/s/files/1/0937/6904/0186/files/BR0002-C-6x6mm-W-E.jpg?v=1749056648
BR0002-C-7x7-W-14k-f,https://cdn.shopify.com/s/files/1/0937/6904/0186/files/BR0002-C-7x7mm-W-E.jpg?v=1749057257
BR0002-C-8x8-W-14k-f,https://cdn.shopify.com/s/files/1/0937/6904/0186/files/BR0002-C-8x8mm-W-E.jpg?v=1749057786
BR0002-C-9x9-W-14k-f,https://cdn.shopify.com/s/files/1/0937/6904/0186/files/BR0002-C-9x9mm-W-E.jpg?v=1749058090
BR0002-C-10x10-W-14k-f,https://cdn.shopify.com/s/files/1/0937/6904/0186/files/BR0002-C-10x10mm-W-E.jpg?v=1749058328
BR0002-PS-8x6-W-14k-f, https://cdn.shopify.com/s/files/1/0937/6904/0186/files/BR0002-PS-8x6mm-W-E.jpg?v=1749050272
BR0002-PS-10x7-W-14k-f, https://cdn.shopify.com/s/files/1/0937/6904/0186/files/BR0002-PS-10x7MM-W-E.jpg?v=1749050494
BR0002-PS-12x8-W-14k-f, https://cdn.shopify.com/s/files/1/0937/6904/0186/files/BR0002-PS-12x8MM-W-E.jpg?v=1749050593
BR0002-E-7x5-W-14k-f,https://cdn.shopify.com/s/files/1/0937/6904/0186/files/BR0002-E-7x5MM-W-E.jpg?v=1749051297
BR0002-E-8x6-W-14k-f,https://cdn.shopify.com/s/files/1/0937/6904/0186/files/BR0002-E-8x6MM-W-E.jpg?v=1749051577
BR0002-E-9x7-W-14k-f,https://cdn.shopify.com/s/files/1/0937/6904/0186/files/BR0002-E-9x7mm-W-E.jpg?v=1749051716
BR0002-10x8-W-14k-f,https://cdn.shopify.com/s/files/1/0937/6904/0186/files/BR0002-E-10x8mm-W-E.jpg?v=1749051883
BR0002-E-11x9-W-14k-f,https://cdn.shopify.com/s/files/1/0937/6904/0186/files/BR0002-E-11x9mm-W-E.jpg?v=1749051986
BR0002-P-6x6-W-14k-f,https://cdn.shopify.com/s/files/1/0937/6904/0186/files/BR0002-P-6x6mm-W-E.jpg?v=1749048433
BR0002-P-7x7-W-14k-f,https://cdn.shopify.com/s/files/1/0937/6904/0186/files/BR0002-P-7x7mm-W-E.jpg?v=1749048592
BR0002-P-8x8-W-14k-f,https://cdn.shopify.com/s/files/1/0937/6904/0186/files/BR0002-P-8x8mm-W-E.jpg?v=1749048728
BR0002-P-9x9-W-14k-f,https://cdn.shopify.com/s/files/1/0937/6904/0186/files/BR0002-P-9x9mm-W-E.jpg?v=1749048880
BR0002-P-10x10-W-14k-f,https://cdn.shopify.com/s/files/1/0937/6904/0186/files/BR0002-P-10x10mm-W-E.jpg?v=1749049044
BR0002-R-6.5-W-14k-f, https://cdn.shopify.com/s/files/1/0937/6904/0186/files/BR0002-R-6.5MM-W-E.jpg?v=1749047461
BR0002-R-8-W-14k-f, https://cdn.shopify.com/s/files/1/0937/6904/0186/files/BR0002-R-8MM-W-E.jpg?v=1749047596
BR0002-R-9.4-W-14k-f, https://cdn.shopify.com/s/files/1/0937/6904/0186/files/BR0002-R-9.4mm-W-E.jpg?v=1749047701
BR0002-R-10-W-14k-f, https://cdn.shopify.com/s/files/1/0937/6904/0186/files/BR0002-R-10MM-W-E.jpg?v=1749047796
BR0002-R-11-W-14k-f, https://cdn.shopify.com/s/files/1/0937/6904/0186/files/BR0002-R-11MM-W-E.jpg?v=1749047923
